Date,NFT,REIT,AAA,TY,BTC,ETH,OIL,GOLD,S&P
8/7/2019,-0.214396469,0.011562389,0.004963283,1.684,0.039612102,0.001637275,0.027986001,-0.006389373,0.000766596
8/8/2019,0.085609835,0.011943043,0.000113483,1.716,0.002044345,-0.024364011,0.036625917,-0.000734729,0.018588426
8/12/2019,1.446802494,0.00164371,0.010017533,1.639,-0.012307995,-0.022485778,0.038744469,-0.002061514,-0.012393826
8/13/2019,-0.948129625,0.001181832,-0.0008298,1.68,-0.043707143,-0.012281315,-0.033297833,0.009078622,0.015018306
8/14/2019,-0.203346819,-0.008302068,0.009564091,1.581,-0.080637972,-0.111932375,-0.013856193,0.00243782,-0.029730363
8/15/2019,-0.026887355,-0.001204952,0.004616184,1.529,0.025522046,0.010100158,0.00731666,-0.004683231,0.002461237
8/19/2019,0.825134171,0.006412557,-0.006320148,1.598,0.053652863,0.043259856,0.002310085,0.002795343,0.012033185
8/20/2019,-1.235904332,-0.007548448,0.005431617,1.561,-0.014098603,-0.032663482,-0.011783746,0,-0.007946252
8/21/2019,0.373029832,0.002361736,-0.000222256,1.577,-0.059840267,-0.050466331,-0.005944357,-0.004863596,0.008213006
8/22/2019,0.643395015,0.006016098,-0.003158593,1.61,-0.000690129,0.023485986,-0.021549409,0.019379554,-0.00050621
8/27/2019,-1.129046167,0.005428012,0.007250061,1.49,-0.018030983,-0.007505594,0.015355735,-0.002078733,-0.003208332
8/28/2019,0.944461609,-0.004621042,0.002103021,1.466,-0.043244332,-0.075444974,0.01653518,-0.00737529,0.006524141
8/29/2019,-0.265857356,0.008137434,-0.004720788,1.516,-0.025355881,-0.02547106,-0.028800846,-0.004859479,0.012607435
9/3/2019,0.235732718,0.007004422,0.00161034,1.466,0.026398799,0.006438411,0.042111485,0.002842196,-0.006923029
9/4/2019,0.88614439,0.010117574,9.63E-05,1.459,-0.002737944,-0.019727879,0.000710732,-0.02276903,0.010783722
9/5/2019,-0.559446712,-0.005785309,-0.010964582,1.565,-0.001791208,-0.010141179,0.003900023,-0.006089508,0.012925923
9/9/2019,0.56035475,-0.005910423,-0.00816456,1.622,-0.010233096,-0.001136922,-0.00780915,-0.007953258,-9.40E-05
9/10/2019,-0.716123815,-0.013352933,-0.00886563,1.702,-0.021417821,-0.007548674,-0.029166893,0.002747347,0.000322266
9/11/2019,-0.050776262,0.002552852,-0.002285232,1.733,0.006149168,-0.005922687,-0.011909199,0.002873277,0.007203659
9/12/2019,0.165615522,0.004017038,-0.005082873,1.791,0.022513994,0.012734891,-0.004366025,-0.005218101,0.002874971
9/16/2019,1.05032064,0.009783515,0.007160482,1.841,-0.00687718,0.037864469,-0.058262549,0.001329699,-0.003140536
9/17/2019,-0.109138302,0.009624713,0.002764519,1.812,-0.003462463,0.056682432,-0.020945849,0.001593308,0.002578429
9/18/2019,-0.093366545,-0.002718467,0.004727537,1.786,-0.00420993,0.013258647,0.000344116,-0.006054777,0.000342624
9/19/2019,0.956556455,0.005902047,0.003407544,1.774,0.006661946,0.045713592,-0.00068835,0.005922099,2.00E-05
9/23/2019,0.366378885,0.003526243,0.003820873,1.708,-0.034455251,-0.046561471,-0.023290969,0.005497756,-9.69E-05
9/24/2019,0.344762783,-0.002404646,0.007069339,1.635,-0.12099365,-0.18325518,-0.014062457,-0.018112261,-0.008452012
9/25/2019,-0.040780714,-0.000586079,-0.009989869,1.732,-0.015616015,0.016412987,-0.001417184,0.001925567,0.006139679
9/26/2019,-0.002410885,0.00780798,0.005734692,1.685,-0.044331751,-0.024677368,-0.008903193,-0.005587722,-0.002431871
9/30/2019,-0.693841384,0.006500367,0.00027949,1.675,0.023135804,0.053490942,-0.008357371,0.011059583,0.005034927
10/1/2019,-0.32927597,-0.010921795,0.002888139,1.644,0.005939523,-0.014175458,-0.018445846,0.012739026,-0.01233413
10/2/2019,0.01342302,-0.008331905,0.000821664,1.596,0.005947039,0.018825174,-0.003615952,0.004055722,-0.018065441
10/3/2019,-0.349895257,0.01284285,0.004915857,1.536,-0.015979387,-0.030971942,0.006840232,-0.000597352,0.007940382
10/7/2019,-0.329948111,0.000789099,-0.002627541,1.553,0.031722605,0.045892601,-0.002277473,-0.000333901,-0.004488362
